Freq_Thz,S11-db,VSWR,W1
5.62,-13.74791558,1.516995346,20
5.64,-13.12832233,1.566040306,20
5.66,-12.31817696,1.639057633,20
5.68,-11.4243362,1.733735848,20
5.7,-10.53775961,1.845935007,20
5.72,-9.718755314,1.970155736,20
5.74,-8.998675269,2.100138381,20
5.76,-8.387901127,2.229553484,20
5.78,-7.884065554,2.352647405,20
5.8,-7.478319243,2.464705798,20
5.82,-7.159338496,2.562294447,20
5.84,-6.915481644,2.643327547,20
5.86,-6.735833922,2.706980831,20
5.88,-6.610743026,2.753450737,20
5.9,-6.532199232,2.783582842,20
5.92,-6.494124437,2.798464346,20
5.94,-6.492442722,2.799125855,20
5.96,-6.524701161,2.786499085,20
5.98,-6.589123138,2.761669832,20
6,-6.683288065,2.726278839,20
6.02,-6.802946669,2.682787854,20
6.04,-6.941638566,2.634348313,20
6.06,-7.091413995,2.584275355,20
6.08,-7.244190029,2.535446996,20
6.1,-7.392600411,2.490054709,20
6.12,-7.52931863,2.449914543,20
6.14,-7.644953719,2.417152988,20
6.16,-7.727185664,2.394489162,20
6.18,-7.765889842,2.383998772,20
6.2,-7.762795188,2.384833448,20
6.22,-7.730689722,2.393534813,20
6.24,-7.677611204,2.408090445,20
6.26,-7.597911992,2.430352902,20
6.28,-7.479300473,2.464419194,20
6.3,-7.312659017,2.51426299,20
6.32,-7.096242013,2.582698307,20
6.34,-6.835698239,2.671162604,20
6.36,-6.542946476,2.779415088,20
6.38,-6.235149386,2.904731008,20
6.4,-5.933464499,3.040740046,20
6.42,-5.660606067,3.176746073,20
6.44,-5.43707885,3.298710228,20
6.46,-5.277490606,3.392322076,20
6.48,-5.188781038,3.446926188,20
6.5,-5.170972715,3.458120481,20
6.52,-5.219494091,3.427804756,20
6.54,-5.327661559,3.362269169,20
6.56,-5.488565385,3.26970708,20
6.58,-5.696251447,3.158211505,20
6.6,-5.946414807,3.03460665,20
6.62,-6.236808135,2.904021037,20
6.64,-6.567088771,2.770104834,20
