"Freq [thz]","VSWR(1) [] - W1='4um'","VSWR(1) [] - W1='20um'","VSWR(1) [] - W1='30um'","VSWR(1) [] - W1='40um'","VSWR(1) [] - W1='50um'","VSWR(1) [] - W1='60um'"
4.86,1.46262680001447,1.35163415159351,1.38273885207252,1.46010830059261,1.76056726243706,1.71950016457703
4.88,1.45604618829334,1.34263962937276,1.39750575314309,1.50362752150058,1.78502515706057,1.77133010971825
4.9,1.44320370009131,1.33864724510091,1.40933933510986,1.54175433452197,1.80632865500932,1.81407745960144
4.92,1.42409735997042,1.34026021656247,1.41802965194047,1.57496692556233,1.82495147933087,1.84551516062377
4.94,1.39918219231562,1.34790216598096,1.42423208120701,1.60376215056637,1.83952200386785,1.86366201515487
4.96,1.36931657945358,1.36148301793476,1.42942100351958,1.62870112978332,1.84717673599353,1.86711741479242
4.98,1.33585916878433,1.38046877706928,1.43583183304509,1.650589885236,1.84450527312342,1.85546287048201
5,1.30093005815433,1.40412098525083,1.44623563285739,1.67056369327816,1.82869764965361,1.82958450440731
5.02,1.26793634489345,1.43172405065723,1.46342223911666,1.6898263712887,1.79846789517586,1.79177503226581
5.04,1.24232337724363,1.46275848228677,1.48940710872849,1.70897558327789,1.75451920386032,1.74553866731797
5.06,1.23183736689182,1.49702071975401,1.524667687405,1.72719889997406,1.69945593770338,1.69509048830219
5.08,1.24433431567568,1.53464320031654,1.56792623928971,1.74189594676246,1.637286599003,1.6446239457844
5.1,1.28325524243473,1.57597264058788,1.61674988332432,1.74924625416318,1.57273863174761,1.59751906609137
5.12,1.34634679002002,1.62131602837249,1.66860234441923,1.74570023572985,1.51049407083097,1.55577868162226
5.14,1.42864772898872,1.67064026154703,1.72159608308808,1.72965335861903,1.4544885942716,1.51991419338759
5.16,1.5244920806489,1.72331356220719,1.77449496789436,1.70222998225299,1.40728004069783,1.48928770528269
5.18,1.62746909570874,1.77794555776783,1.82614204276129,1.66656174182155,1.36975256219801,1.46275118331248
5.2,1.7300558137969,1.83235228013758,1.87480084745798,1.62603291890486,1.34139583697867,1.43930210582241
5.22,1.82390846797298,1.88368765664919,1.91779375732889,1.58276763624769,1.32132741651638,1.41856642925622
5.24,1.90100992853637,1.92874827885029,1.95160103948399,1.53747558963634,1.30968025075268,1.40106167689321
5.26,1.95525391898957,1.96445146766606,1.97243664027526,1.4906782075247,1.30842168554257,1.38816230229647
5.28,1.98371239777111,1.98836338520481,1.97718455647521,1.44420780798557,1.32059092605526,1.38169888908521
5.3,1.98694354677148,1.99911549816906,1.96437838474394,1.40173969133317,1.34808624934571,1.38312617416277
5.32,1.96831858883627,1.99652557412997,1.93474473366798,1.36792411343138,1.38982943752372,1.3925997392237
5.34,1.9328742252364,1.98144358257758,1.89097065276246,1.34654748529791,1.44192801346775,1.40864685438748
5.36,1.88630604967594,1.95542335382088,1.83683034912275,1.33880930591416,1.4992139161782,1.42877236726276
5.38,1.83437288368458,1.92040036868615,1.77623950689766,1.34301523271678,1.55676325053909,1.45063210627489
5.4,1.78259086116013,1.87841496054904,1.71283003267157,1.35604159159876,1.61085307082905,1.47313453798757
5.42,1.7357892145574,1.83138111435766,1.65023043986366,1.37529395243496,1.65946783692577,1.49706590034347
5.44,1.69718589702215,1.78094829576285,1.59258847477463,1.39985452546879,1.70255988726306,1.52504583639888
5.46,1.66725345182499,1.72855321603248,1.54436526006337,1.43061436932346,1.7421297281056,1.56067825569252
5.48,1.64345668406053,1.67568250785909,1.5087810657118,1.46967762969849,1.78194099626592,1.60700642405989
5.5,1.62175674615659,1.62419106446768,1.48594356371511,1.51936451903049,1.82647081803783,1.66496817124333
5.52,1.59906823617148,1.57650278008237,1.47285593159831,1.58098825639877,1.87888437884068,1.7328572722839
5.54,1.57487024718297,1.53565396744243,1.46560468345471,1.65372766158452,1.93885612400694,1.80713063947501
5.56,1.55122786494732,1.50524887352533,1.46159592686682,1.73405033644618,2.00184367786898,1.88376089361592
5.58,1.53188025197194,1.48934137246952,1.46050699581746,1.81605022671447,2.06064218221568,1.95901209289976
5.6,1.52121699478171,1.49208450241701,1.46443785040988,1.89274590623022,2.10808333980151,2.02928816169852
5.62,1.52339820654712,1.51699534566689,1.47790781312698,1.95784349763008,2.13928796765103,2.09073726488579
5.64,1.54163432756291,1.5660403064216,1.507525349961,2.00737919229026,2.15293726370869,2.13964878831725
5.66,1.57772233343633,1.63905763344173,1.56064542548522,2.04084054425781,2.15151637132029,2.17390518652151
5.68,1.63201932668166,1.73373584761155,1.64281606652525,2.06166904007503,2.14021976064106,2.19443663974855
5.7,1.70375305222911,1.84593500674037,1.75498070894122,2.07691140261995,2.12492757751149,2.20531317469878
5.72,1.79135663321315,1.97015573619176,1.8918249667941,2.09541796072416,2.11068593303547,2.21237377325186
5.74,1.89257760019212,2.10013838137514,2.04216143141481,2.12441878537618,2.10151607389768,2.22145932836898
5.76,2.00436155081577,2.22955348446615,2.19165601469353,2.16608589707709,2.10097522599787,2.23719562303059
5.78,2.12270109099786,2.3526474053267,2.32705773011817,2.21679292228583,2.11249248076549,2.26247887921028
5.8,2.24263460219172,2.46470579773782,2.43980907774475,2.26968816728465,2.13900957476582,2.29845566866155
5.82,2.35853932945959,2.5622944469246,2.52724775357206,2.31813521829419,2.18215609714977,2.34471132546655
5.84,2.46467595717273,2.64332754652841,2.59138086124912,2.3576547631562,2.24158645662525,2.39953641027871
5.86,2.555849787892,2.7069808314716,2.63649682411417,2.38606988931144,2.31494996519621,2.46017549368486
5.88,2.62795552034205,2.75345073693831,2.66691816469721,2.40289569813147,2.39840548610242,2.52304185707773
5.9,2.67828274667013,2.78358284163071,2.68563557025018,2.40864533828041,2.48725732697816,2.58395594664515
5.92,2.70557607506496,2.79846434568185,2.69399238113253,2.40436148447894,2.57640041674993,2.6384650702427
5.94,2.70998410363011,2.7991258546268,2.69215961593291,2.391338786581,2.66057579788783,2.68223809854812
5.96,2.69300224405052,2.78649908545898,2.67991690314611,2.37092669688857,2.73456236660575,2.71148336113002
5.98,2.65750505873152,2.76166983182878,2.65729344997428,2.34451747058531,2.79352303724744,2.72330341679618
6,2.60787499495001,2.72627883917016,2.62485945654931,2.31375529825751,2.83365516182322,2.71603205404232
